"Gray Blue","#FCFCFD","#EAECF5","#717BBC","#4E5BA6","#363F72","#101323"
"Gray Cool","#FCFCFD","#EFF1F5","#7D89B0","#5D6B98","#404968","#111322"
"Gray Modern","#FCFCFD","#E3E8EF","#9AA4B2","#697586","#364152","#121926"
"Gray Neutral","#FCFCFD","#E5E7EB","#9AA4B2","#6C737F","#384250","#111927"
"Gray Iron","#FCFCFD","#F4F4F5","#A0A0AB","#70707B","#3F3F46","#18181B"
"Gray True","#FCFCFD","#F5F5F5","#A3A3A3","#737373","#424242","#141414"
"Gray Warm","#FCFCFD","#F5F5F4","#A9A29D","#79716B","#44403C","#1C1917"
"Moss","#FAFDF7","#E6F4D7","#86CB3C","#669F2A","#3F621A","#2B4212"
"Green Light","#FAFEF5","#E3FBCC","#85E13A","#66C61C","#3B7C0F","#2B5314"
"Green","#F6FEF9","#D3F8DF","#3CCB7F","#16B364","#087443","#084C2E"
"Teal","#F6FEF9","#CCFBEF","#2ED3B7","#15B79E","#107569","#134E48"
"Cyan","#F6FEFC","#CFF9FE","#22CCEE","#06AED4","#107569","#164C63"
"Blue Light","#F5FBFF","#E0F2FE","#36BFFA","#0BA5EC","#0E7090","#0B4A6F"
"Blue","#F5FAFF","#D1E9FF","#53B1FD","#2E90FA","#175CD3","#194185"
"Blue Dark","#F5F8FF","#D1E0FF","#528BFF","#2970FF","#004EEB","#00359E"
"Indigo","#F5F8FF","#E0EAFF","#8098F9","#6172F3","#3538CD","#2D3282"
"Violet","#FBFAFF","#ECE9FE","#A48AFB","#875BF7","#6927DA","#2D3282"
"Purple","#FAFAFF","#EBE9FE","#9B8AFB","#7A5AF8","#5925DC","#2D3282"
"Fuchsia","#FEFAFF","#FBE8FF","#E478FA","#D444F1","#9F1AB1","#2D3282"
"Pink","#FEF6FB","#FCE7F6","#F670C7","#EE46BC","#C11574","#2D3282"
"Rose","#FFF5F6","#FFE4E8","#FD6F8E","#F63D68","#C01048","#2D3282"
"Orange Dark","#FFF9F5","#FFE6D5","#FF692E","#FF4405","#BC1B06","#2D3282"
"Orange","#FEFAF5","#FDEAD7","#F38744","#EF6820","#B93815","#2D3282"
"Yellow","#FEFDF0","#FEF7C3","#FAC515","#EAAA08","#A15C07","#2D3282"
